Date;Exp;Aviary;Identity;Sex;Tarsus;Mass;Plucking;Carot;Oxy
12/11/2012;Start;I;6460088;M;23.15;17.75;Yes;No;188.7
12/11/2012;Start;B;6460094;F;21.6;17.5;No;No;241.9
12/11/2012;Start;G;6460147;F;22.5;16.75;Yes;Yes;258.3
12/11/2012;Start;L;6460195;M;22.5;18.5;No;No;215.5
12/11/2012;Start;G;6460852;M;23;17;Yes;Yes;237.3
12/11/2012;Start;I;6460865;M;22.3;16.25;Yes;No;193.9
12/11/2012;Start;N;6460875;F;22.3;18.5;No;No;261.8
12/11/2012;Start;E;6461097;F;22.2;16.75;Yes;No;292.2
12/11/2012;Start;L;6461253;M;22.4;17.25;No;No;230.9
12/11/2012;Start;D;6461301;M;22.7;18;Yes;Yes;249.1
12/11/2012;Start;M;6461770;F;22.2;17;Yes;No;245.2
12/11/2012;Start;K;6461771;M;23.5;16.5;Yes;Yes;201
12/11/2012;Start;H;6461790;M;22.4;19.25;Yes;Yes;275.8
12/11/2012;Start;F;6461793;M;22.9;17.5;Yes;No;217.6
12/11/2012;Start;H;6461794;F;21.7;16.5;Yes;Yes;250.1
12/11/2012;Start;K;6461881;M;22.8;17.25;Yes;Yes;215.5
12/11/2012;Start;G;6682227;M;23.6;17;Yes;Yes;257
12/11/2012;Start;J;6682362;F;22.5;16.25;No;No;266.3
12/11/2012;Start;K;6682363;F;21.1;15.25;Yes;Yes;234.9
12/11/2012;Start;J;6682364;F;22;16;No;No;246.9
12/11/2012;Start;J;6682365;M;23.6;19;No;No;293.2
12/11/2012;Start;H;6682366;M;22.3;18.25;Yes;Yes;169.3
12/11/2012;Start;H;6682367;M;23;19.75;Yes;Yes;219.2
12/11/2012;Start;K;6682368;F;21.8;15.75;Yes;Yes;275.8
12/11/2012;Start;I;6682369;M;22.7;17.5;Yes;No;201.3
12/11/2012;Start;I;6682370;F;22.5;17;Yes;No;232.7
12/11/2012;Start;F;6682371;M;21.8;16;Yes;No;257
12/11/2012;Start;F;6682372;M;22.9;17.25;Yes;No;253.7
12/11/2012;Start;F;6682373;F;20.5;16.25;Yes;No;317.2
12/11/2012;Start;L;6682374;M;22.9;17.5;No;No;240.4
12/11/2012;Start;M;6682375;F;21.6;15.75;Yes;No;269.2
12/11/2012;Start;G;6682376;F;22.2;16.25;Yes;Yes;245.9
12/11/2012;Start;J;6682378;F;21.9;17.75;No;No;232.7
12/11/2012;Start;N;6682381;F;22.8;15.75;No;No;253.2
12/11/2012;Start;N;6682382;M;22.7;17.25;No;No;213.2
12/11/2012;Start;E;6682383;M;22.6;17.75;Yes;No;244.9
12/11/2012;Start;L;6682384;F;22.1;17.25;No;No;270.1
12/11/2012;Start;M;6682385;M;22.8;18.25;Yes;No;248.9
12/11/2012;Start;N;6682387;M;22.4;17;No;No;218
12/11/2012;Start;B;6682449;M;22.7;18;No;No;253.1
12/11/2012;Start;D;6682458;F;23;15.75;Yes;Yes;279.4
04/12/2012;End;I;6460088;M;23.15;17.5;Yes;No;200.3
04/12/2012;End;B;6460094;F;21.6;15.75;No;No;220
03/12/2012;End;G;6460147;F;22.5;16.25;Yes;Yes;203.3
03/12/2012;End;L;6460195;M;22.5;18.5;No;No;157.3
03/12/2012;End;G;6460852;M;23;16.75;Yes;Yes;207.3
04/12/2012;End;I;6460865;M;22.3;16.25;Yes;No;211.3
04/12/2012;End;N;6460875;F;22.3;16.5;No;No;211.3
04/12/2012;End;E;6461097;F;22.2;16.25;Yes;No;230
03/12/2012;End;L;6461253;M;22.4;17.5;No;No;142
03/12/2012;End;D;6461301;M;22.7;18;Yes;Yes;209.5
03/12/2012;End;M;6461770;F;22.2;16.5;Yes;No;216.2
04/12/2012;End;K;6461771;M;23.5;17;Yes;Yes;188.6
04/12/2012;End;H;6461790;M;22.4;18;Yes;Yes;228.5
03/12/2012;End;F;6461793;M;22.9;17.5;Yes;No;201
04/12/2012;End;H;6461794;F;21.7;15;Yes;Yes;246.2
04/12/2012;End;K;6461881;M;22.8;16.5;Yes;Yes;179.4
