"Site";"Date";"T...C. Mean";"T...C. Se";"Water..cm. Mean";"Water..cm. Se";"Salinity..g.L. Mean";"Salinity..g.L. Se";"pH Mean";"pH Se";"Cd..ppm. Mean";"Cd..ppm. Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Fe..ppm. Mean";"Fe..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"Cu..ppm. Mean";"Cu..ppm. Se";"P..mg.L. Mean";"P..mg.L. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
1;128;25;0;28;0;31;0;9.66;0.0305505046330393;0.757733333333333;0.00182787064944736;1.621;0.00556776436282997;2.25233333333333;0.00835330939076116;0.175733333333333;0.000145296631451356;0.291033333333333;0.00533833099177803;4.68353333333333;0.0287504975802353;95.7575757566667;2.64175693506208
1;159;28.3333333333333;0.333333333333333;10;0;35;0;9.33333333333333;0.284800124843918;0.824666666666667;0.00817176711475418;1.55866666666667;0.181572146664747;0.215666666666667;0.00346858921048761;0.0832666666666667;0.00147685852779171;0.22;0.00403608721412212;4.78133333333333;0.0473667018531421;106.060606033333;1.51515153333333
1;189;29;0;11;0;40.1666666666667;0.166666666666667;8.25333333333333;0.0272845092395748;0.739;0.000577350269189626;1.35966666666667;0.00735602549690468;0.416333333333333;0.00952773728530429;0.0877333333333333;0.000218581284143399;0.295666666666667;0.00185592145427668;5.2192;0.0498278730564865;167.77572;2.02861460864306
1;220;38;0;8;0;51.8333333333333;0.166666666666667;8.16;0.00577350269189613;0.733666666666667;0.00120185042515466;1.281;0.0020816659994661;0.219333333333333;0.00290593262902712;0.0602;0.000152752523165195;0.276333333333333;0.000881917103688198;5.5454;0.0498278730564865;156.85628;2.37475345718246
1;251;28;0;7.5;0;52.84;0.211974841274462;7.3;0.0458257569495585;0.716666666666667;0.000666666666666667;1.22666666666667;0.0158569998563551;0.211333333333333;0.000333333333333334;0.0468;0.000152752523165195;0.259666666666667;0.000666666666666667;5.82810666666667;0.0661399045794427;136.493;1.95203531730345
1;294;23;0;8;0;51.1566666666667;0.528404306484261;8.10333333333333;0.00333333333333326;0.694666666666667;0.00284800124843918;1.13633333333333;0.00240370085030933;0.184666666666667;0.000881917103688198;0.0379333333333333;0.000120185042515468;0.248333333333333;0.00260341655863555;5.86072666666667;0.028768135922309;126.60648;0.921511904643663
1;312;12;0;10;0;47.5;1.3228756555323;8.53;0.0173205080756889;0.676333333333333;0.0110955446513955;0.986333333333333;0.00240370085030933;0.159;0.000577350269189626;0.0330666666666667;0.000120185042515468;0.223;0.00152752523165195;5.5454;0;123.9504;0
1;342;9;0;15;0;39.3966666666667;0.0887568463712959;9.06;0.0702376916856846;0.746666666666667;0.00233333333333334;0.939666666666667;0.00185592145427664;0.120666666666667;0.00664161961505709;0.0273666666666667;0.000240370085030932;0.190666666666667;0.00120185042515466;5.61064;0.0652399999999999;116.5724;1.66291674692391
1;35;9;0;25;0;28;0.602771377334171;8.29666666666667;0.0133333333333336;0.543333333333333;0.02185812841434;0.143;0.0240901086202062;0.113333333333333;0.0017638342073764;0.135666666666667;0.00202758751009941;0.378;0.00700000000000001;4.15106666666667;0.0434666666666669;85.1515151533333;0.400871409908353
1;67;11;0;35;0;28.1;0.264575131106459;8.15666666666667;0.0622718056408979;0.0878;0.00649409988630706;0.978133333333333;0.0102250237706869;0.796666666666667;0.0317979733805649;0.0857333333333333;0.0111548693901413;0.428666666666667;0.00617341972581738;5.04213333333333;0.0575009951604706;93.18181819;4.90263324813334
