Site;Date;T (°C);Water (cm);Salinity (g/L);pH;Cd (ppm);Pb (ppm);Fe (ppm);Zn (ppm);Cu (ppm);P (mg/L);NO3- (mg/L)
1;8;4;10;29.88;8.61;0.74;0.45;0.125;0.36;0.476;4.7596;75.45454545
1;8;4;10;29.21;8.71;0.71;0.438;0.123;0.36;0.484;4.89;77.27272727
1;8;4;10;28.86;8.61;0.7;0.402;0.128;0.37;0.411;4.6618;72.72727273
2;8;3.5;20;28.46;8.68;0.71;0.424;0.173;0.39;0.473;4.5966;78.63636364
2;8;3.5;20;28.38;8.54;0.72;0.406;0.172;0.34;0.477;4.564;75.90909091
2;8;3.5;20;28.36;8.61;0.72;0.483;0.17;0.3;0.436;4.564;74.54545455
3;8;3.5;22;29.88;8.93;0.66;0.433;0.181;0.4;0.466;4.1402;72.27272727
3;8;3.5;22;28.87;8.71;0.67;0.426;0.179;0.39;0.459;4.1402;72.72727273
3;8;3.5;22;29.1;8.92;0.65;0.426;0.178;0.39;0.472;4.1076;70.45454545
4;8;3.5;25;31.59;9.54;0.62;0.324;0.099;0.4;0.465;4.0098;69.54545455
4;8;3.5;25;30.5;9.16;0.66;0.316;0.0987;0.4;0.444;4.075;68.63636364
4;8;3.5;25;31.3;8.54;0.6;0.283;0.097;0.4;0.453;4.0098;68.18181818
5;8;3.5;15;32.02;9.33;0.61;0.213;0.163;0.43;0.481;4.1728;68.63636364
5;8;3.5;15;31.6;8.6;0.65;0.251;0.159;0.4;0.445;4.2706;68.18181818
5;8;3.5;15;31.33;8.54;0.65;0.26;0.161;0.4;0.412;4.238;70
6;8;3.5;20;29.17;9.3;0.59;0.227;0.16;0.35;0.426;4.3358;72.72727273
6;8;3.5;20;29.13;9.02;0.55;0.209;0.167;0.37;0.421;4.3358;71.81818182
6;8;3.5;20;29.32;9.3;0.58;0.213;0.162;0.4;0.41;4.238;68.18181818
7;8;3.5;20;29.02;9.31;0.64;0.207;0.139;0.42;0.409;4.401;72.72727273
7;8;3.5;20;29.1;8.77;0.6;0.225;0.14;0.44;0.403;4.3032;72.72727273
7;8;3.5;20;28.9;8.98;0.61;0.237;0.138;0.42;0.395;4.4662;73.18181818
1;35;9;25;28.5;8.31;0.57;0.187;0.114;0.139;0.392;4.1076;84.54545455
1;35;9;25;28.7;8.27;0.5;0.138;0.11;0.136;0.371;4.1076;85
1;35;9;25;26.8;8.31;0.56;0.104;0.116;0.132;0.371;4.238;85.90909091
2;35;9;40;27.9;9;0.61;0.0321;0.131;0.1065;0.408;4.2706;82.72727273
2;35;9;40;28.2;9.02;0.67;0.0343;0.131;0.0996;0.388;4.238;82.27272727
2;35;9;40;28.6;8.98;0.65;0.028;0.132;0.1023;0.401;4.2054;82.72727273
3;35;9;45;29.5;8.42;0.56;0.0679;0.105;0.0518;0.348;4.0098;81.81818182
3;35;9;45;29.7;8.45;0.58;0.0641;0.108;0.0509;0.35;3.9772;81.81818182
3;35;9;45;29.5;8.48;0.6;0.067;0.107;0.0512;0.346;3.9772;85
4;35;9;50;31.2;8.39;0.59;0.0642;0.052;0.0507;0.328;4.3358;83.18181818
4;35;9;50;30.6;8.38;0.56;0.0597;0.053;0.0509;0.337;4.3032;84.09090909
4;35;9;50;31.4;8.3;0.58;0.0603;0.0515;0.0506;0.337;4.3358;82.72727273
5;35;9;65;30.8;8.42;0.58;0.0514;0.124;0.0482;0.332;4.238;83.18181818
5;35;9;65;30.6;8.43;0.57;0.0517;0.13;0.0485;0.346;4.238;84.54545455
5;35;9;65;30.9;8.55;0.54;0.0523;0.127;0.0476;0.344;4.238;86.36363636
