Ordre;DateJJ;Identity;NumPhoto;Area
90;339;6460088;6445;3.207
104;339;6460088;6446;3.571
17;339;6460094;6301;1.678
73;339;6460094;6302;1.571
125;339;6460094;6300;1.524
9;338;6460147;6198;1.415
20;338;6460147;6196;1.328
29;338;6460147;6199;1.167
80;338;6460147;6200;1.314
119;338;6460147;6197;1.1
4;338;6460195;6247;3.486
34;338;6460195;6244;2.916
53;338;6460195;6246;3.137
81;338;6460195;6245;4.566
30;338;6460852;6174;2.831
86;338;6460852;6175;3.171
96;338;6460852;6173;3.148
36;339;6460865;6455;3.552
66;339;6460865;6456;3.943
84;339;6460865;6454;3.876
6;339;6460875;6462;1.551
56;339;6460875;6460;1.618
87;339;6460875;6461;1.817
49;339;6461097;6402;1.427
85;339;6461097;6401;1.393
91;339;6461097;6403;1.367
10;338;6461253;6240;2.979
63;338;6461253;6239;4.02
108;338;6461253;6241;3.012
33;338;6461301;6115;3.184
51;338;6461301;6114;3.486
69;338;6461301;6116;4.465
3;338;6461770;6272;1.89
97;338;6461770;6271;1.859
123;338;6461770;6270;2.033
75;339;6461771;6359;2.65
76;339;6461771;6361;2.534
116;339;6461771;6360;2.534
50;339;6461790;6348;2.598
62;339;6461790;6346;1.7
107;389;6461790;6349;2.099
122;339;6461790;6347;1.971
60;338;6461793;6141;2.927
82;338;6461793;6140;3.253
101;338;6461793;6139;3.803
42;339;6461794;6325;1.289
48;339;6461794;6323;1.26
52;339;6461794;6324;1.175
118;339;6461794;6322;1.443
18;339;6461881;6368;3.785
94;339;6461881;6369;3.954
105;339;6461881;6370;4.316
16;338;6682227;6209;2.882
25;338;6682227;6211;3.018
106;338;6682227;6210;3.792
14;338;6682362;6235;0.785
113;338;6682362;6234;1.027
7;339;6682363;6392;1.276
71;339;6682363;6391;1.309
124;339;6682363;6390;1.799
43;338;6682364;6224;1.434
83;338;6682364;6225;1.254
102;338;6682364;6223;1.761
12;338;6682365;6219;2.249
64;338;6682365;6218;2.777
121;338;6682365;6220;2.958
35;339;6682366;6313;3.15
58;339;6682366;6312;1.924
111;339;6682366;6314;2.991
11;339;6682367;6335;1.4
15;339;6682367;6336;1.962
31;339;6682367;6334;1.596
65;339;6682367;6333;1.741
27;339;6682368;6379;1.295
79;339;6682368;6381;1.43
89;339;6682368;6380;1.745
37;339;6682369;6424;3.239
54;339;6682369;6425;3.498
112;339;6682369;6423;3.021
1;339;6682370;6434;0.724
21;339;6682370;6433;0.638
98;339;6682370;6432;0.881
2;338;6682371;6152;1.706
5;338;6682371;6151;1.701
93;338;6682371;6153;1.763
40;338;6682372;6162;1.251
44;338;6682372;6163;1.535
77;338;6682372;6161;1.495
46;338;6682373;6132;0.718
59;338;6682373;6131;0.556
100;338;6682373;6130;0.835
19;338;6682375;6285;1.134
68;338;6682375;6286;0.897
92;338;6682375;6284;0.891
99;338;6682375;6287;1.088
24;338;6682376;6186;1.803
39;338;6682376;6187;1.918
109;338;6682376;6185;1.868
32;338;6682378;6229;0.872
72;338;6682378;6228;1.016
95;338;6682378;6230;0.895
41;339;6682381;6475;0.896
61;339;6682381;6474;0.678
110;339;6682381;6476;0.814
26;339;6682382;6467;2.539
47;339;6682382;6468;2.748
120;339;6682382;6469;2.62
13;339;6682383;6412;4.619
23;339;6682383;6413;4.654
114;339;6682383;6411;4.952
67;338;6682384;6254;0.883
78;338;6682384;6253;1.135
115;338;6682384;6255;1.03
28;338;6682385;6262;1.922
55;338;6682385;6261;1.889
117;338;6682385;6260;2.149
22;339;6682387;6482;3.974
57;339;6682387;6480;3.711
70;339;6682387;6481;2.939
8;339;6682449;6293;2.995
38;339;6682449;6294;2.481
74;339;6682449;6295;3.061
103;339;6682449;6292;3.044
45;338;6682458;6123;1.187
88;338;6682458;6124;0.695
126;338;6682458;6122;1.024
