"Site";"Date";"pH Mean";"pH Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
1;128;9.66;0.0305505046330393;1.621;0.00556776436282997;0.175733333333333;0.000145296631451356;95.7575757566667;2.64175693506208
1;159;9.33333333333333;0.284800124843918;1.55866666666667;0.181572146664747;0.0832666666666667;0.00147685852779171;106.060606033333;1.51515153333333
1;189;8.25333333333333;0.0272845092395748;1.35966666666667;0.00735602549690468;0.0877333333333333;0.000218581284143399;167.77572;2.02861460864306
1;220;8.16;0.00577350269189613;1.281;0.0020816659994661;0.0602;0.000152752523165195;156.85628;2.37475345718246
1;251;7.3;0.0458257569495585;1.22666666666667;0.0158569998563551;0.0468;0.000152752523165195;136.493;1.95203531730345
1;294;8.10333333333333;0.00333333333333326;1.13633333333333;0.00240370085030933;0.0379333333333333;0.000120185042515468;126.60648;0.921511904643663
1;312;8.53;0.0173205080756889;0.986333333333333;0.00240370085030933;0.0330666666666667;0.000120185042515468;123.9504;0
1;342;9.06;0.0702376916856846;0.939666666666667;0.00185592145427664;0.0273666666666667;0.000240370085030932;116.5724;1.66291674692391
1;35;8.29666666666667;0.0133333333333336;0.143;0.0240901086202062;0.135666666666667;0.00202758751009941;85.1515151533333;0.400871409908353
1;67;8.15666666666667;0.0622718056408979;0.978133333333333;0.0102250237706869;0.0857333333333333;0.0111548693901413;93.18181819;4.90263324813334
1;8;8.64333333333333;0.0333333333333338;0.43;0.014422205101856;0.363333333333333;0.00333333333333334;75.15151515;1.3208784660016
1;98;8.57666666666667;0.0554777232569773;1.04066666666667;0.00260341655863552;0.152033333333333;0.00095277372853043;95;0.694329649263036
2;128;9.65;0.00577350269189613;1.696;0.0402864741569673;0.174533333333333;0.000617341972581735;92.1212121233333;4.01729502443633
2;159;9.15333333333333;0.00333333333333326;0.967333333333333;0.0138604152575279;0.0654333333333333;0.000437162568286799;96.8181818166667;0.946211820486645
2;189;8.20333333333333;0.0517472489875335;1.23466666666667;0.0139323763626709;0.073;0.000208166599946615;145.78928;2.57279651243545
2;220;8.14666666666667;0.0218581284143399;1.26733333333333;0.00218581284143402;0.0577333333333333;0.00116093831781787;140.182;1.4756
2;251;7.22666666666667;0.0202758751009939;1.19166666666667;0.00523874454850055;0.0441666666666667;0.000533333333333332;135.7552;2.9512
2;294;8.07;0.00999999999999979;1.11133333333333;0.00895048105473168;0.0363333333333333;0.000272845092395749;120.9992;1.4756
2;312;8.42333333333333;0.0240370085030933;0.953666666666667;0.0228351580779386;0.0314333333333333;0.000145296631451356;118.048;1.4756
2;342;9.04;0.0450924975282292;0.841333333333333;0.002185812841434;0.0241333333333333;0.00020275875100994;109.78464;0.511162834329726
2;35;9;0.0115470053837923;0.0314666666666667;0.00184601673280005;0.1028;0.00200748598998847;82.5757575766667;0.15151515333333
2;67;8.33666666666667;0.0976956725983524;0.9204;0.0116620467043025;0.0653333333333333;0.00145296631451356;99.9999999833333;2.9223183987532
2;8;8.61;0.040414518843274;0.437666666666667;0.0232546291687865;0.343333333333333;0.0260341655863555;76.3636363666667;1.20261423224482
2;98;9.33666666666667;0.057831171909658;0.924333333333333;0.004371625682868;0.148433333333333;0.00222585813663954;97.4242424233333;1.34669612480736
3;128;9.70666666666667;0.0504424865014053;1.404;0.00854400374531752;0.173933333333333;0.000233333333333339;85;2.83863545185224
3;159;9.16333333333333;0.00333333333333326;0.968;0.0174737898961082;0.0612666666666667;8.819171036882e-05;96.9696969666667;1.51515151666667
3;189;8.22666666666667;0.00666666666666652;1.312;0.00550757054728613;0.0764333333333333;0.000536449231314368;144.75636;2.27165732521435
3;220;8.09666666666667;0.013333333333333;1.259;0.004;0.0589333333333333;6.66666666666663e-05;144.31368;0.921511904643666
3;251;7.17333333333333;0.0145296631451355;1.17866666666667;0.00120185042515467;0.0411;0.000115470053837926;163.93916;1.15248044217678
3;294;8.01333333333333;0.00881917103688178;1.1;0.00435889894354071;0.0345666666666667;0.000317979733805648;119.5236;0
3;312;8.18666666666667;0.00881917103688178;0.9734;0.00197315314492651;0.0304;2e-04;115.68704;0.390407063460692
3;342;8.26333333333333;0.0470224532655531;0.852;0.0109696551146029;0.0219666666666667;0.000145296631451356;111.865236;1.637916
3;35;8.45;0.0173205080756889;0.0663333333333333;0.00114649223479466;0.0513;0.000264575131106458;82.87878788;1.06060606
3;67;8.88;0.0152752523165197;0.86;0.00251661147842359;0.0611666666666667;0.000480740170061866;99.39393938;3.16372923168582
3;8;8.85333333333333;0.071724782637833;0.428333333333333;0.00233333333333334;0.393333333333333;0.00333333333333334;71.8181818166667;0.694329652536304
3;98;9.42;0.00999999999999979;0.751;0.0115325625946708;0.163966666666667;0.00219494368442058;84.84848485;1.18337116270577
4;128;9.72333333333333;0.0466666666666663;1.23233333333333;0.000333333333333371;0.168066666666667;0.00352625076312568;73.7878787866667;13.495059122237
4;159;9.19333333333333;0.00666666666666652;1.02866666666667;0.0213723601358806;0.0576666666666667;0.000674124947205224;89.24242424;1.44536242713582
4;189;8.29666666666667;0.00881917103688234;1.337;0.00754983443527074;0.0714333333333333;0.00017638342073764;132.804;0
4;220;7.75;0.0264575131106458;1.24866666666667;0.00088191710368817;0.0525333333333333;0.000202758751009941;133.83692;0.643199128108864
4;251;7.3;0.0115470053837925;1.169;0;0.0421333333333333;0.000185592145427668;144.75636;1.32804
4;294;7.97666666666667;0.0233333333333331;1.097;0;0.0303;0.000100000000000001;118.34312;0.967615628646003
4;312;8.23666666666667;0.00881917103688178;0.932333333333333;0.0461892243325697;0.0311;0.000115470053837925;114.65412;0.255581417164865
4;342;8.79333333333333;0.125742240759067;0.8637;0.00182300118851671;0.0213666666666667;6.66666666666663e-05;108.60416;1.28639825621772
4;35;8.35666666666667;0.0284800124843918;0.0614;0.00141067359796659;0.0507333333333333;8.819171036882e-05;83.3333333333333;0.400871409908353
4;67;8.63;0.0416333199893223;0.8606;0.0158774473179203;0.0619666666666667;0.000260341655863555;96.6666666666667;1.68720132166151
4;8;9.08;0.291433239925259;0.307666666666667;0.0125476868164792;0.4;0;68.78787879;0.400871412428118
4;98;9.63;0.0173205080756889;0.918;0.0398873413503583;0.159266666666667;0.000145296631451356;81.06060606;0.546295647881621
5;128;9.71;0.0503322295684718;1.26666666666667;0.0328650439085529;0.168966666666667;0.000145296631451357;85.75757576;2.23195755570904
5;159;9.15666666666667;0.00333333333333326;0.940666666666667;0.0324465372232196;0.0477666666666667;0.00184149697559108;95.90909091;4.09090909
5;189;8.33333333333333;0.0120185042515464;1.44833333333333;0.00133333333333333;0.0742666666666667;0.000669161996662825;137.67348;2.94750869148845
5;220;7.82333333333333;0.156240555270106;1.65233333333333;0.00088191710368817;0.0570666666666667;0.000260341655863557;135.7552;1.4756
5;251;7.18;0.0100000000000001;1.16533333333333;0.00384418753155697;0.0437666666666667;0.000120185042515465;134.2796;1.4756
5;294;8.03;0.00999999999999979;1.09;0.00152752523165192;0.0305333333333333;0.000145296631451356;118.63824;0.511162834329726
5;312;8.28666666666667;0.00881917103688223;0.972333333333333;0.00491030662088542;0.0318333333333333;8.819171036882e-05;118.49068;1.03292
5;342;8.87333333333333;0.0523874454850058;0.837;0.001;0.0221;0.000115470053837925;104.91516;1.55464106777095
5;35;8.46666666666667;0.0417665469538058;0.0518;0.000264575131106458;0.0481;0.000264575131106458;84.6969696966667;0.921630685686464
