Site;Date;pH;Pb (ppm);Zn (ppm);NO3- (mg/L)
1;8;8.61;0.45;0.36;75.45454545
1;8;8.71;0.438;0.36;77.27272727
1;8;8.61;0.402;0.37;72.72727273
2;8;8.68;0.424;0.39;78.63636364
2;8;8.54;0.406;0.34;75.90909091
2;8;8.61;0.483;0.3;74.54545455
3;8;8.93;0.433;0.4;72.27272727
3;8;8.71;0.426;0.39;72.72727273
3;8;8.92;0.426;0.39;70.45454545
4;8;9.54;0.324;0.4;69.54545455
4;8;9.16;0.316;0.4;68.63636364
4;8;8.54;0.283;0.4;68.18181818
5;8;9.33;0.213;0.43;68.63636364
5;8;8.6;0.251;0.4;68.18181818
5;8;8.54;0.26;0.4;70
6;8;9.3;0.227;0.35;72.72727273
6;8;9.02;0.209;0.37;71.81818182
6;8;9.3;0.213;0.4;68.18181818
7;8;9.31;0.207;0.42;72.72727273
7;8;8.77;0.225;0.44;72.72727273
7;8;8.98;0.237;0.42;73.18181818
1;35;8.31;0.187;0.139;84.54545455
1;35;8.27;0.138;0.136;85
1;35;8.31;0.104;0.132;85.90909091
2;35;9;0.0321;0.1065;82.72727273
2;35;9.02;0.0343;0.0996;82.27272727
2;35;8.98;0.028;0.1023;82.72727273
3;35;8.42;0.0679;0.0518;81.81818182
3;35;8.45;0.0641;0.0509;81.81818182
3;35;8.48;0.067;0.0512;85
4;35;8.39;0.0642;0.0507;83.18181818
4;35;8.38;0.0597;0.0509;84.09090909
4;35;8.3;0.0603;0.0506;82.72727273
5;35;8.42;0.0514;0.0482;83.18181818
5;35;8.43;0.0517;0.0485;84.54545455
5;35;8.55;0.0523;0.0476;86.36363636
6;35;8.25;0.0536;0.0497;85
6;35;8.25;0.0551;0.0498;85.90909091
6;35;8.23;0.0548;0.0451;90.90909091
7;35;8.35;0.0396;0.0373;85.45454545
7;35;8.36;0.0379;0.0379;84.09090909
7;35;8.33;0.0386;0.0375;93.18181818
1;67;8.28;0.9724;0.108;91.81818182
1;67;8.08;0.964;0.0734;85.45454545
1;67;8.11;0.998;0.0758;102.2727273
2;67;8.48;0.9244;0.065;100.9090909
2;67;8.15;0.9383;0.063;94.54545455
2;67;8.38;0.8985;0.068;104.5454545
3;67;8.91;0.865;0.0605;104.5454545
3;67;8.87;0.857;0.0609;100
3;67;8.86;0.858;0.0621;93.63636364
4;67;8.69;0.833;0.0615;94.54545455
4;67;8.65;0.888;0.0624;95.45454545
4;67;8.55;0.8608;0.062;100
5;67;8.82;0.8062;0.0538;104.5454545
5;67;8.71;0.7998;0.0511;100.9090909
5;67;8.86;0.755;0.054;95
6;67;8.7;0.749;0.0467;95
6;67;8.72;0.7659;0.0432;95.45454545
6;67;8.66;0.7549;0.0481;95.45454545
7;67;9.18;0.627;0.0456;100.9090909
7;67;9.12;0.6605;0.0377;113.6363636
7;67;9.17;0.7067;0.0429;100
1;98;8.49;1.045;0.1537;95.45454545
1;98;8.56;1.036;0.1504;93.63636364
1;98;8.68;1.041;0.152;95.90909091
2;98;9.24;0.919;0.144;95.45454545
2;98;9.33;0.921;0.1503;100
2;98;9.44;0.933;0.151;96.81818182
3;98;9.43;0.728;0.1601;82.72727273
3;98;9.4;0.764;0.1677;86.81818182
3;98;9.43;0.761;0.1641;85
4;98;9.66;0.922;0.1595;81.36363636
4;98;9.63;0.985;0.1593;80
4;98;9.6;0.847;0.159;81.81818182
5;98;9.66;0.823;0.168;90.90909091
5;98;9.55;0.821;0.1672;95.45454545
5;98;9.45;0.821;0.1669;105.4545455
6;98;9.53;0.457;0.1617;90.90909091
6;98;9.67;0.468;0.1622;90.90909091
6;98;9.71;0.471;0.1619;89.54545455
7;98;9.59;0.897;0.1654;88.18181818
7;98;9.57;0.898;0.1652;88.18181818
7;98;9.48;0.897;0.1661;89.54545455
1;128;9.72;1.617;0.1757;90.90909091
1;128;9.62;1.632;0.1755;100
1;128;9.64;1.614;0.176;96.36363636
2;128;9.66;1.771;0.1752;100
2;128;9.64;1.684;0.1733;86.81818182
2;128;9.65;1.633;0.1751;89.54545455
3;128;9.78;1.414;0.1743;86.36363636
3;128;9.61;1.411;0.1735;89.09090909
